strategy,cost_bps,CAGR,Sharpe,Maximum drawdown,Total turnover
Logistic,0.0,0.1161209125066518,0.7266581446153861,-0.3371726769000344,19.0
Logistic,5.0,0.11503839190179965,0.721009156676719,-0.3371726769000347,19.0
Logistic,10.0,0.11395638088257365,0.7153482728882705,-0.3371726769000343,19.0
Logistic,20.0,0.11179388765968468,0.7039919319645223,-0.3371726769000346,19.0
Logistic,30.0,0.10963343295543271,0.6925913668133564,-0.3371726769000346,19.0
Logistic,40.0,0.1074750168873917,0.6811488473467432,-0.3371726769000345,19.0
Logistic,50.0,0.1053186395732586,0.6696666661624149,-0.3371726769000345,19.0
Nested ML + momentum,0.0,0.11543987697568658,0.723127646279826,-0.3371726769000344,21.0
Nested ML + momentum,5.0,0.11424469845116603,0.7168944829941195,-0.3371726769000347,21.0
Nested ML + momentum,10.0,0.11305020430909885,0.7106480561692397,-0.3371726769000343,21.0
Nested ML + momentum,20.0,0.1106632689714957,0.6981167651646301,-0.3371726769000346,21.0
Nested ML + momentum,30.0,0.10827907056100727,0.6855365003941275,-0.3371726769000346,21.0
Nested ML + momentum,40.0,0.10589760867542175,0.6729100198634378,-0.3371726769000345,21.0
Nested ML + momentum,50.0,0.10351888291218203,0.6602401094352991,-0.3371726769000345,21.0
SPY buy and hold,0.0,0.13178579886998842,0.7890082708417913,-0.3371726769000346,0.0
SPY buy and hold,5.0,0.13178579886998842,0.7890082708417913,-0.3371726769000346,0.0
SPY buy and hold,10.0,0.13178579886998842,0.7890082708417913,-0.3371726769000346,0.0
SPY buy and hold,20.0,0.13178579886998842,0.7890082708417913,-0.3371726769000346,0.0
SPY buy and hold,30.0,0.13178579886998842,0.7890082708417913,-0.3371726769000346,0.0
SPY buy and hold,40.0,0.13178579886998842,0.7890082708417913,-0.3371726769000346,0.0
SPY buy and hold,50.0,0.13178579886998842,0.7890082708417913,-0.3371726769000346,0.0
SPY above 50-day MA,0.0,0.06067153390173008,0.6096483904686902,-0.20259785096745897,177.0
SPY above 50-day MA,5.0,0.05111916898955249,0.5241269826175831,-0.2109203706517787,177.0
SPY above 50-day MA,10.0,0.04164811830832238,0.4384572264884055,-0.22373156009845474,177.0
SPY above 50-day MA,20.0,0.022947356474042335,0.2670587518237105,-0.2519518491133155,177.0
SPY above 50-day MA,30.0,0.004564090920862185,0.09621987592655726,-0.27917296802041114,177.0
SPY above 50-day MA,40.0,-0.013506758434564281,-0.07331259712156903,-0.31158561973596055,177.0
SPY above 50-day MA,50.0,-0.031270195366439046,-0.24082765304510784,-0.40120288953154803,177.0
