model,feature,importance_mean,importance_std,folds,repeats_per_fold
logistic,return_1d,0.015619929250134681,0.035135036834130697,10,5
logistic,return_5d,0.023508720363437197,0.03678225817132117,10,5
logistic,return_10d,0.017204136484421435,0.02898672146314329,10,5
logistic,return_20d,0.00468649784176076,0.026003228435123007,10,5
logistic,price_to_ma_10d,0.0005210781770688478,0.01617184275736624,10,5
logistic,price_to_ma_20d,-0.0021208340675216396,0.045046097192989104,10,5
logistic,price_to_ma_50d,-0.005340957303892962,0.04833836250253661,10,5
logistic,volatility_10d,0.006003409804333785,0.03669384464182128,10,5
logistic,volatility_20d,0.008802933129820917,0.03037560970536239,10,5
logistic,rsi_14d,0.014435157237081709,0.033633478949612806,10,5
logistic,macd,0.019341253672893476,0.04036234398743518,10,5
logistic,volume_change_1d,-0.0005969772150482689,0.016500036844746272,10,5
logistic,volume_to_average_20d,0.006956782103010939,0.01663162265792798,10,5
gradient-boosting,return_1d,-0.0005927606838149901,0.020366992655924742,10,5
gradient-boosting,return_5d,0.008366683209527952,0.01880312602987226,10,5
gradient-boosting,return_10d,0.004859499384222856,0.019034747951520194,10,5
gradient-boosting,return_20d,-0.0003199519933676409,0.010991198421665817,10,5
gradient-boosting,price_to_ma_10d,0.0029419107347299113,0.013961361267243299,10,5
gradient-boosting,price_to_ma_20d,0.000677078955748096,0.019130074700137497,10,5
gradient-boosting,price_to_ma_50d,0.006723283176145209,0.016456269560445567,10,5
gradient-boosting,volatility_10d,-0.008089764343339856,0.013963146162125016,10,5
gradient-boosting,volatility_20d,0.0007572373184362291,0.013501017797681578,10,5
gradient-boosting,rsi_14d,0.0025467376246619,0.018170268724438686,10,5
gradient-boosting,macd,0.0022532138950883906,0.019038066403454935,10,5
gradient-boosting,volume_change_1d,0.0029397599849680833,0.018407908305036375,10,5
gradient-boosting,volume_to_average_20d,0.0013818579819454913,0.02216619331842242,10,5
